accuracy,efficiency,percentage,reduce_efficiency,dataset,algorithm
0.6765163297045101,0.04999971389770508,6.1464088397790055,128.32519221305847,satimage-0,snn
0.7278382581648523,0.05181097984313965,6.457182320441989,97.50706958770752,satimage-6,snn
0.7461300309597523,0.05393338203430176,6.806011400932803,97.69546222686768,satimage-7,snn
0.7465007776049767,0.054102182388305664,6.508977900552487,111.64915609359741,satimage-3,snn
0.778816199376947,0.05192089080810547,6.680476437079234,100.29268717765808,satimage-4,snn
0.7838258164852255,0.05061197280883789,6.422651933701657,86.40736269950867,satimage-8,snn
0.786046511627907,0.0504758358001709,6.390328151986183,89.68255925178528,satimage-5,snn
0.7866043613707165,0.05131816864013672,6.4905920939064385,93.63357090950012,satimage-9,snn
0.80248833592535,0.056668758392333984,6.422651933701657,96.3935878276825,satimage-1,snn
0.8201550387596899,0.05626344680786133,6.683937823834197,85.88408422470093,satimage-2,snn
0.880248833592535,0.07274246215820312,11.049723756906078,81.61862540245056,satimage-0,drop2
0.8847352024922118,0.07064938545227051,11.030554117037804,82.04699039459229,satimage-9,drop2
0.8864696734059098,0.4777069091796875,91.41919889502762,3.3961644172668457,satimage-8,enn
0.8895800933125972,0.46424055099487305,91.29834254143647,3.659783124923706,satimage-0,enn
0.8911353032659409,0.06941556930541992,10.738950276243093,81.17490243911743,satimage-8,drop2
0.8930232558139535,0.5202274322509766,91.22625215889465,6.254901647567749,satimage-2,enn
0.897196261682243,0.5105915069580078,91.33436906611428,3.8970890045166016,satimage-9,enn
0.8973561430793157,0.983027458190918,100.0,1.4543533325195312e-05,satimage-0,no
0.9007751937984496,0.07305645942687988,10.72538860103627,114.52682852745056,satimage-5,drop2
0.9020217729393468,0.9939088821411133,100.0,1.5497207641601562e-05,satimage-8,no
0.9023255813953488,0.07741570472717285,11.295336787564766,106.42930364608765,satimage-2,drop2
0.9035769828926905,0.0765848159790039,11.2396408839779,95.13789653778076,satimage-3,drop2
0.9051321928460342,0.07036066055297852,10.946132596685082,90.08190131187439,satimage-6,drop2
0.9065420560747663,0.07277631759643555,10.788883134817883,110.92353916168213,satimage-4,drop2
0.9069767441860465,0.4659843444824219,91.29533678756476,4.298675775527954,satimage-5,enn
0.9069767441860465,0.9910895824432373,100.0,1.4543533325195312e-05,satimage-5,no
0.9096573208722741,0.9929406642913818,100.0,1.4781951904296875e-05,satimage-9,no
0.911353032659409,0.5300173759460449,91.50552486187846,3.7263100147247314,satimage-3,enn
0.9117647058823529,0.07204246520996094,10.813612022801866,82.54035520553589,satimage-7,drop2
0.9129082426127527,0.991734504699707,100.0,1.4066696166992188e-05,satimage-3,no
0.9131782945736434,0.9927036762237549,100.0,2.2172927856445312e-05,satimage-2,no
0.9144634525660964,0.4615519046783447,91.31560773480663,3.6897096633911133,satimage-1,enn
0.9148606811145511,0.9962477684020996,100.0,1.52587890625e-05,satimage-7,no
0.9148606811145511,0.48050785064697266,91.3111072724132,3.8098576068878174,satimage-7,enn
0.9158878504672897,0.4588303565979004,91.36889349214569,4.5159361362457275,satimage-4,enn
0.9160186625194401,0.0717012882232666,10.704419889502763,101.27161931991577,satimage-1,drop2
0.9160186625194401,0.5118930339813232,90.86671270718232,3.4101786613464355,satimage-6,enn
0.9206842923794712,0.9854826927185059,100.0,1.430511474609375e-05,satimage-1,no
0.9253499222395023,0.9904618263244629,100.0,2.7418136596679688e-05,satimage-6,no
0.926791277258567,0.9859805107116699,100.0,1.4543533325195312e-05,satimage-4,no
