accuracy,efficiency,k,distance,policy,weighting,fold
0.7205882352941176,0.007068157196044922,1,2-norm,sheppard,uniform,credita-7
0.7205882352941176,0.008130788803100586,1,1-norm,inverse,uniform,credita-8
0.7205882352941176,0.007508516311645508,1,1-norm,majority,uniform,credita-8
0.7205882352941176,0.006678581237792969,3,chebyshev,majority,uniform,credita-9
0.7205882352941176,0.00706791877746582,1,2-norm,sheppard,mutual_info,credita-7
0.7205882352941176,0.006710529327392578,7,chebyshev,sheppard,uniform,credita-9
0.7205882352941176,0.007451772689819336,1,2-norm,majority,mutual_info,credita-7
0.7205882352941176,0.006593465805053711,5,chebyshev,sheppard,uniform,credita-9
0.7205882352941176,0.007302999496459961,1,2-norm,inverse,mutual_info,credita-7
0.7205882352941176,0.006505012512207031,3,chebyshev,sheppard,uniform,credita-9
0.7246376811594203,0.006977081298828125,5,chebyshev,inverse,uniform,credita-4
0.7246376811594203,0.006700992584228516,3,chebyshev,sheppard,uniform,credita-2
0.7285714285714285,0.0067806243896484375,3,chebyshev,majority,uniform,credita-3
0.7323943661971831,0.0070874691009521484,7,chebyshev,majority,uniform,credita-0
0.7323943661971831,0.007157564163208008,1,chebyshev,majority,uniform,credita-0
0.7323943661971831,0.006951808929443359,1,chebyshev,inverse,uniform,credita-0
0.7323943661971831,0.0067098140716552734,1,chebyshev,sheppard,uniform,credita-0
0.7352941176470589,0.007233619689941406,3,chebyshev,inverse,relief,credita-7
0.7352941176470589,0.007364749908447266,7,1-norm,inverse,mutual_info,credita-7
0.7352941176470589,0.007227659225463867,3,1-norm,majority,mutual_info,credita-7
0.7352941176470589,0.0072994232177734375,3,1-norm,inverse,mutual_info,credita-7
0.7352941176470589,0.007145881652832031,3,1-norm,sheppard,mutual_info,credita-7
0.7352941176470589,0.007421970367431641,3,2-norm,majority,mutual_info,credita-7
0.7352941176470589,0.0071964263916015625,3,2-norm,sheppard,mutual_info,credita-7
0.7352941176470589,0.007600307464599609,1,1-norm,majority,relief,credita-7
0.7352941176470589,0.0073375701904296875,1,1-norm,inverse,relief,credita-7
0.7352941176470589,0.0070056915283203125,1,1-norm,sheppard,relief,credita-7
0.7352941176470589,0.007425785064697266,1,2-norm,majority,relief,credita-7
0.7352941176470589,0.007542610168457031,5,2-norm,inverse,relief,credita-7
0.7352941176470589,0.007161140441894531,1,2-norm,sheppard,relief,credita-7
0.7352941176470589,0.007180213928222656,1,chebyshev,majority,relief,credita-7
0.7352941176470589,0.007136106491088867,1,chebyshev,inverse,relief,credita-7
0.7352941176470589,0.006848335266113281,1,chebyshev,sheppard,relief,credita-7
0.7352941176470589,0.007517814636230469,3,2-norm,inverse,relief,credita-7
0.7352941176470589,0.007357597351074219,5,1-norm,inverse,relief,credita-7
0.7352941176470589,0.007402658462524414,1,2-norm,inverse,relief,credita-7
0.7352941176470589,0.007491588592529297,3,2-norm,inverse,mutual_info,credita-7
0.7352941176470589,0.007418155670166016,1,2-norm,inverse,uniform,credita-8
0.7352941176470589,0.007155895233154297,1,2-norm,sheppard,uniform,credita-8
0.7352941176470589,0.006911516189575195,7,chebyshev,inverse,uniform,credita-9
0.7352941176470589,0.00749969482421875,1,2-norm,majority,uniform,credita-8
0.7352941176470589,0.007600069046020508,5,2-norm,inverse,uniform,credita-7
0.7352941176470589,0.006735324859619141,3,chebyshev,inverse,uniform,credita-9
0.7352941176470589,0.006791114807128906,5,chebyshev,inverse,uniform,credita-9
0.7391304347826086,0.00684046745300293,7,chebyshev,sheppard,uniform,credita-2
0.7391304347826086,0.006831169128417969,7,chebyshev,majority,uniform,credita-2
0.7391304347826086,0.007180213928222656,3,1-norm,sheppard,uniform,credita-2
0.7428571428571429,0.006606340408325195,1,chebyshev,inverse,uniform,credita-1
0.7428571428571429,0.006455183029174805,1,chebyshev,sheppard,uniform,credita-1
0.7428571428571429,0.006784915924072266,1,chebyshev,majority,uniform,credita-1
0.75,0.007262229919433594,3,1-norm,inverse,relief,credita-7
0.75,0.007458925247192383,5,2-norm,majority,mutual_info,credita-7
0.75,0.007478475570678711,7,1-norm,inverse,uniform,credita-7
0.75,0.0075168609619140625,5,1-norm,inverse,mutual_info,credita-7
0.75,0.0072841644287109375,5,1-norm,majority,mutual_info,credita-7
0.75,0.007140636444091797,5,1-norm,sheppard,mutual_info,credita-7
0.75,0.0072803497314453125,5,chebyshev,majority,mutual_info,credita-7
0.75,0.007065534591674805,5,chebyshev,sheppard,mutual_info,credita-7
0.75,0.007550716400146484,7,2-norm,inverse,relief,credita-7
0.75,0.0071735382080078125,7,1-norm,sheppard,mutual_info,credita-7
0.75,0.00725555419921875,7,chebyshev,inverse,relief,credita-7
0.75,0.007250308990478516,7,1-norm,majority,mutual_info,credita-7
0.75,0.00751948356628418,7,2-norm,inverse,mutual_info,credita-7
0.75,0.007299184799194336,3,1-norm,inverse,uniform,credita-7
