accuracy,efficiency,k,distance,policy,weighting
0.8624804410435332,0.007640457153320313,7,2-norm,majority,uniform
0.8635314444210017,0.00742642879486084,7,1-norm,majority,mutual_info
0.8635314444210017,0.007346796989440918,7,1-norm,sheppard,mutual_info
0.8652328463534831,0.00738370418548584,7,1-norm,sheppard,relief
0.8680071220159833,0.007411789894104004,3,chebyshev,majority,relief
0.8680071220159833,0.007219862937927246,3,chebyshev,sheppard,relief
0.8681320060173487,0.007572698593139649,7,2-norm,sheppard,relief
0.868194117818591,0.007360124588012695,3,1-norm,sheppard,relief
0.8710500685271045,0.007485866546630859,5,1-norm,majority,relief
0.871070772460852,0.007314729690551758,5,1-norm,sheppard,relief
0.8724792488949038,0.00737466812133789,7,chebyshev,sheppard,relief
0.8724810242529344,0.007491111755371094,3,2-norm,sheppard,relief
0.8725632567785228,0.00763399600982666,3,1-norm,majority,relief
0.8739302996152534,0.007625770568847656,3,2-norm,majority,relief
0.875463634320844,0.007532048225402832,5,2-norm,sheppard,relief
0.875463634320844,0.007707929611206055,5,2-norm,majority,relief
0.8782982721563825,0.007500481605529785,5,chebyshev,majority,relief
0.8797067228606078,0.007350897789001465,5,chebyshev,sheppard,relief
