accuracy,efficiency,k,distance,policy,weighting
0.9038150060858146,0.4267298460006714,1,2-norm,sheppard,uniform
0.9050601407592629,0.4225147724151611,1,2-norm,sheppard,mutual_info
0.9050601407592629,0.4300496578216553,1,2-norm,inverse,mutual_info
0.9050601407592629,0.4306545972824097,1,2-norm,majority,mutual_info
0.9066112573153164,0.4262866020202637,3,2-norm,majority,mutual_info
0.9067696852311897,0.43906388282775877,7,2-norm,majority,mutual_info
0.9070792670152296,0.4252758026123047,3,2-norm,sheppard,mutual_info
0.9070792670152296,0.46253337860107424,3,2-norm,inverse,mutual_info
0.9076943708968865,0.4890238523483276,7,2-norm,majority,uniform
0.9078484294670373,0.4181317567825317,1,1-norm,sheppard,uniform
0.9078484294670373,0.41966805458068845,1,1-norm,inverse,uniform
0.9078484294670373,0.4240245819091797,1,1-norm,majority,uniform
0.9078501363901996,0.45709168910980225,7,2-norm,sheppard,uniform
0.9080109575265605,0.4299546957015991,7,2-norm,sheppard,mutual_info
0.9081638205783034,0.42586510181427,5,2-norm,majority,uniform
0.9081640628228442,0.42583279609680175,5,2-norm,sheppard,uniform
0.9081650273011096,0.4253347873687744,5,2-norm,inverse,uniform
0.9083166993762027,0.4556011915206909,7,2-norm,inverse,uniform
0.9083219995172293,0.4301546335220337,7,2-norm,inverse,mutual_info
0.9089448034788535,0.43179171085357665,5,2-norm,sheppard,mutual_info
0.9092454739671977,0.4252083539962769,7,1-norm,majority,uniform
0.9092543965161279,0.4416259527206421,5,2-norm,majority,mutual_info
0.9092568099477877,0.4303788900375366,5,2-norm,inverse,mutual_info
0.9097154126515481,0.4253890037536621,1,1-norm,inverse,mutual_info
0.9097154126515481,0.4247338056564331,1,1-norm,majority,mutual_info
0.9097154126515481,0.4280644655227661,1,1-norm,sheppard,mutual_info
0.9098714158615971,0.4290822982788086,7,1-norm,majority,mutual_info
0.9101815001482663,0.4252254247665405,3,2-norm,majority,uniform
0.9101858335436364,0.42177207469940187,3,1-norm,majority,mutual_info
0.9104930176212432,0.42937984466552737,5,1-norm,majority,mutual_info
0.9104944710815129,0.42532501220703123,3,2-norm,sheppard,uniform
0.9104944710815129,0.43140976428985595,3,2-norm,inverse,uniform
0.910955002706921,0.4249434232711792,7,1-norm,inverse,uniform
0.9109636852577714,0.43366098403930664,3,1-norm,inverse,mutual_info
0.9109636852577714,0.4281018257141113,3,1-norm,sheppard,mutual_info
0.9111163105578951,0.4279287338256836,7,1-norm,inverse,mutual_info
0.9112706248583293,0.42274363040924073,5,1-norm,majority,uniform
0.9112708693423548,0.438391900062561,5,1-norm,sheppard,mutual_info
0.9112708693423548,0.43002972602844236,5,1-norm,inverse,mutual_info
0.9112715893086885,0.42925152778625486,7,1-norm,sheppard,mutual_info
0.9114263836122592,0.42551236152648925,3,1-norm,majority,uniform
0.911734296642044,0.43217389583587645,7,1-norm,sheppard,uniform
0.9122025486144041,0.42050814628601074,3,1-norm,sheppard,uniform
0.9122025486144041,0.44025330543518065,3,1-norm,inverse,uniform
0.9125123883751884,0.4225835084915161,5,1-norm,inverse,uniform
0.9129784691255471,0.41952550411224365,5,1-norm,sheppard,uniform
