k,p,v,w,accuracy,accuracy_sk,time_pp,time_test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,max,uniform,0.9092466739575977,0.9092466739575977,0.18643810749053955,1.4359328269958496
1,1,max,mutual_info,0.9007053128848439,0.9007053128848439,0.19199328422546386,1.5116185665130615
1,1,max,chi2,0.8898270277525807,0.8898270277525807,0.1918548583984375,1.4819382190704347
1,1,max,relieff,0.8923073875937183,0.8923073875937183,0.1895686626434326,1.4936900377273559
1,1,invd,uniform,0.9092466739575977,0.9092466739575977,0.1826648235321045,1.4264358282089233
1,1,invd,mutual_info,0.9022595583738753,0.9022595583738753,0.19710693359375,1.51380615234375
1,1,invd,chi2,0.8898270277525807,0.8898270277525807,0.1965409517288208,1.5222719192504883
1,1,invd,relieff,0.8923073875937183,0.8923073875937183,0.19692277908325195,1.518759799003601
1,1,sheppard,uniform,0.9092466739575977,0.9092466739575977,0.18977606296539307,1.4914001941680908
1,1,sheppard,mutual_info,0.9019497208386223,0.9019497208386223,0.19542407989501953,1.5199045896530152
1,1,sheppard,chi2,0.8898270277525807,0.8898270277525807,0.17778608798980713,1.3630542993545531
1,1,sheppard,relieff,0.8923073875937183,0.8923073875937183,0.18629028797149658,1.503386640548706
1,2,max,uniform,0.9048981061746657,0.9048981061746657,0.20450928211212158,0.2997345209121704
1,2,max,mutual_info,0.8982220438069405,0.8982220438069405,0.1990738868713379,0.29982762336730956
1,2,max,chi2,0.8788018905993953,0.8788018905993953,0.20715148448944093,0.30451250076293945
1,2,max,relieff,0.8829920214875864,0.8829920214875864,0.19797589778900146,0.29641070365905764
1,2,invd,uniform,0.9048981061746657,0.9048981061746657,0.1973243236541748,0.29176836013793944
1,2,invd,mutual_info,0.8980653115958775,0.8980653115958775,0.19763684272766113,0.2929760694503784
1,2,invd,chi2,0.8788018905993953,0.8788018905993953,0.1941755533218384,0.2832519054412842
1,2,invd,relieff,0.8829920214875864,0.8829920214875864,0.18250045776367188,0.2796896696090698
1,2,sheppard,uniform,0.9048981061746657,0.9048981061746657,0.19586389064788817,0.2910331726074219
1,2,sheppard,mutual_info,0.8982210770822139,0.8982210770822139,0.2017461061477661,0.29635560512542725
1,2,sheppard,chi2,0.8788018905993953,0.8788018905993953,0.20009202957153321,0.2943960428237915
1,2,sheppard,relieff,0.8829920214875864,0.8829920214875864,0.20576465129852295,0.2983014822006226
1,inf,max,uniform,0.8780158453233907,0.10986629741182503,0.19399762153625488,1.0815281391143798
1,inf,max,mutual_info,0.8730497714594467,0.10986629741182503,0.19206979274749755,1.1025625705718993
