k,p,v,w,accuracy,accuracy_sk,time_pp,time_test
3,inf,invd,mutual_info,0.8876583983203193,0.10986629741182503,0.21162645816802977,0.9951587200164795
3,inf,invd,chi2,0.8786429826943385,0.10924734684941084,0.20617251396179198,0.9721233129501343
3,inf,sheppard,uniform,0.8895106743676507,0.10986629741182503,0.20255017280578613,0.9752164125442505
3,inf,sheppard,mutual_info,0.8871908663561522,0.10986629741182503,0.20293452739715576,0.9642687797546386
3,inf,sheppard,chi2,0.8786429826943385,0.10924734684941084,0.20636382102966308,0.9810600280761719
5,1,max,uniform,0.9128212636716604,0.9128212636716604,0.20861754417419434,1.41872398853302
5,1,max,mutual_info,0.9120441296843748,0.9120441296843748,0.2109860897064209,1.4343032360076904
5,1,max,chi2,0.911577559952012,0.911577559952012,0.21488664150238038,1.4610898971557618
5,1,invd,uniform,0.9139099151458762,0.9128212636716604,0.21019492149353028,1.4242790699005128
5,1,invd,mutual_info,0.9139111151153465,0.9123556584175632,0.21331300735473632,1.4341635227203369
5,1,invd,chi2,0.9123570983781366,0.911577559952012,0.21247901916503906,1.4100525379180908
5,1,sheppard,uniform,0.9142214393721894,0.9128212636716604,0.20742220878601075,1.4076268672943115
5,1,sheppard,mutual_info,0.9143776758479121,0.9126662159191499,0.20504865646362305,1.3580150127410888
5,1,sheppard,chi2,0.9123578206118612,0.911577559952012,0.2000382661819458,1.3872048377990722
5,2,max,uniform,0.9097197572513169,0.9097197572513169,0.2044123649597168,0.10725705623626709
5,2,max,mutual_info,0.9109607895625607,0.9109607895625607,0.2126007318496704,0.11148269176483154
5,2,max,chi2,0.9080056438997914,0.9080056438997914,0.20757658481597902,0.10739283561706543
5,2,invd,uniform,0.9106545744352117,0.9097197572513169,0.2119412899017334,0.10932157039642335
5,2,invd,mutual_info,0.9106521654964738,0.9103394300614086,0.21351299285888672,0.11119601726531983
5,2,invd,chi2,0.9086325569978863,0.9080056438997914,0.20741016864776612,0.10769448280334473
5,2,sheppard,uniform,0.9104988134417973,0.9097197572513169,0.20889656543731688,0.11168386936187744
5,2,sheppard,mutual_info,0.9101860824996543,0.9103387055812233,0.20073370933532714,0.11197354793548583
5,2,sheppard,chi2,0.9084763137688274,0.9080056438997914,0.19936368465423585,0.11021640300750732
5,inf,max,uniform,0.8898178516919215,0.10986629741182503,0.19936895370483398,0.9627955436706543
5,inf,max,mutual_info,0.8857899729287739,0.10986629741182503,0.2036353349685669,0.9747740030288696
5,inf,max,chi2,0.88500923675871,0.10924734684941084,0.20712461471557617,0.9761916637420655
5,inf,invd,uniform,0.8904450047950728,0.10986629741182503,0.2051017999649048,0.9726374864578247
5,inf,invd,mutual_info,0.8887412629319188,0.10986629741182503,0.20211329460144042,0.9710402011871337
5,inf,invd,chi2,0.8848544447434599,0.10924734684941084,0.21707408428192138,1.0184268712997437
5,inf,sheppard,uniform,0.8899769905952611,0.10986629741182503,0.21484920978546143,1.051506018638611
5,inf,sheppard,mutual_info,0.8885847819651941,0.10986629741182503,0.2167346239089966,1.0358905792236328
5,inf,sheppard,chi2,0.8846989237481255,0.10924734684941084,0.2122429609298706,1.0250070095062256
7,1,max,uniform,0.9095565204647416,0.9095565204647416,0.2085360050201416,1.4040639638900756
7,1,max,mutual_info,0.9081609271644366,0.9081609271644366,0.2101207971572876,1.424027919769287
7,1,max,chi2,0.9067622004242786,0.9067622004242786,0.21417860984802245,1.4149495363235474
7,1,invd,uniform,0.912356871858823,0.9095565204647416,0.20778825283050537,1.3962995767593385
7,1,invd,mutual_info,0.9109578984021315,0.9078508473985958,0.20820860862731932,1.4131412982940674
7,1,invd,chi2,0.9092498208762168,0.9067622004242786,0.21406409740447999,1.4509303092956543
7,1,sheppard,uniform,0.913291929033821,0.9095565204647416,0.21528239250183107,1.5287835836410522
7,1,sheppard,mutual_info,0.9121989351923443,0.908316448159771,0.21175968647003174,1.4247684478759766
7,1,sheppard,chi2,0.90940509962701,0.9067622004242786,0.21409528255462645,1.4579665899276733
7,2,max,uniform,0.9070742181324943,0.9070742181324943,0.21989924907684327,0.114322829246521
7,2,max,mutual_info,0.9072326258023125,0.9072326258023125,0.21774673461914062,0.11434326171875
7,2,max,chi2,0.9084712424075292,0.9084712424075292,0.21992347240447999,0.1142122745513916
