,k,p,v,w,accuracy,accuracy_sk
0,7,1,sheppard,chi2,0.90940509962701,0.9067622004242786
0,7,2,max,uniform,0.9070742181324943,0.9070742181324943
0,7,2,max,mutual_info,0.9075441500286257,0.9075441500286257
0,7,2,max,chi2,0.9084712424075292,0.9084712424075292
0,7,2,invd,uniform,0.9086282258629301,0.9070742181324943
0,7,2,invd,mutual_info,0.9092498231087246,0.9076989465507511
0,7,2,invd,chi2,0.9100264613536933,0.9084712424075292
0,7,2,sheppard,uniform,0.9081621451125714,0.9070742181324943
0,7,2,sheppard,mutual_info,0.9076958153643357,0.9067670250411373
0,7,2,sheppard,chi2,0.9092486141324805,0.9084712424075292
0,7,inf,max,uniform,0.883298732294463,0.10986629741182503
0,7,inf,max,mutual_info,0.8857897329237174,0.10986629741182503
0,7,inf,max,chi2,0.8812781863309548,0.10924734684941084
0,7,inf,invd,uniform,0.8850118811746996,0.10986629741182503
0,7,inf,invd,mutual_info,0.8853200410117129,0.10986629741182503
0,7,inf,invd,chi2,0.8817474005002367,0.10924734684941084
0,7,inf,sheppard,uniform,0.8834576289462852,0.10986629741182503
0,7,inf,sheppard,mutual_info,0.8882730267196683,0.10986629741182503
0,7,inf,sheppard,chi2,0.8812808375142336,0.10924734684941084
